"step","time","part","epoch","loss","lr"
20,"2023-08-13 22:38:19.112723","train",0,0.311100572347641,8.003480193001814e-05
40,"2023-08-13 22:38:48.711143","train",0,0.1009206771850586,8.013920519679262e-05
60,"2023-08-13 22:39:18.452280","train",0,0.8112854361534119,8.03132022306665e-05
80,"2023-08-13 22:39:48.606722","train",0,0.34794342517852783,8.05567804161556e-05
100,"2023-08-13 22:40:18.387841","train",0,0.7684266567230225,8.086992209286204e-05
120,"2023-08-13 22:40:48.706475","train",0,1.0209485292434692,8.125260455675511e-05
140,"2023-08-13 22:41:18.310772","train",0,0.23008225858211517,8.17048000618173e-05
160,"2023-08-13 22:41:48.457359","train",0,0.26349836587905884,8.222647582205615e-05
180,"2023-08-13 22:42:18.255272","train",0,0.11483985185623169,8.281759401388214e-05
200,"2023-08-13 22:42:40.616740","train",0,0.2838585376739502,8.347811177884887e-05
220,"2023-08-13 22:43:00.171971","train",0,0.3006884753704071,8.420798122676281e-05
240,"2023-08-13 22:43:20.655261","train",0,0.5064917206764221,8.50071494391542e-05
