"step","time","part","epoch","loss","lr"
20,"2023-08-13 21:46:40.810681","train",0,0.777073860168457,8.013268969182179e-05
40,"2023-08-13 21:47:10.952985","train",0,0.6621851921081543,8.053072208696584e-05
60,"2023-08-13 21:47:42.140120","train",0,0.12381961941719055,8.119398715460764e-05
80,"2023-08-13 21:48:08.903371","train",0,0.3186328709125519,8.212230154383527e-05
100,"2023-08-13 21:48:35.429407","train",0,0.5046743154525757,8.331540863433648e-05
120,"2023-08-13 21:49:03.756915","train",0,0.7619162797927856,8.477297860733546e-05
