"step","time","part","epoch","loss","lr"
20,"2023-08-13 17:06:57.383529","train",0,0.6554616689682007,8.013268969182179e-05
40,"2023-08-13 17:07:22.389203","train",0,1.3607666492462158,8.053072208696584e-05
60,"2023-08-13 17:07:47.079623","train",0,0.5957199335098267,8.119398715460764e-05
80,"2023-08-13 17:08:08.442901","train",0,0.299686074256897,8.212230154383527e-05
100,"2023-08-13 17:08:27.152471","train",0,0.8831099271774292,8.331540863433648e-05
120,"2023-08-13 17:08:46.075186","train",0,0.19898095726966858,8.477297860733546e-05
