"step","time","part","epoch","loss","lr","auroc","auprc","accuracy","f_measure","f_beta_measure","g_beta_measure","challenge_metric"
20,"2023-08-14 00:45:03.539842","train",0,0.5985599160194397,8.003480193001814e-05,"","","","","","",""
40,"2023-08-14 00:45:29.861254","train",0,0.6909679770469666,8.013920519679262e-05,"","","","","","",""
60,"2023-08-14 00:45:57.146700","train",0,0.5885311961174011,8.03132022306665e-05,"","","","","","",""
80,"2023-08-14 00:46:24.462201","train",0,0.382249653339386,8.05567804161556e-05,"","","","","","",""
100,"2023-08-14 00:46:52.397056","train",0,0.4846615493297577,8.086992209286204e-05,"","","","","","",""
120,"2023-08-14 00:47:19.133596","train",0,0.21139121055603027,8.125260455675511e-05,"","","","","","",""
140,"2023-08-14 00:47:45.885398","train",0,0.22448986768722534,8.17048000618173e-05,"","","","","","",""
160,"2023-08-14 00:48:12.534725","train",0,0.6812454462051392,8.222647582205615e-05,"","","","","","",""
180,"2023-08-14 00:48:39.316228","train",0,0.3268566429615021,8.281759401388214e-05,"","","","","","",""
200,"2023-08-14 00:49:00.729508","train",0,0.8283836841583252,8.347811177884887e-05,"","","","","","",""
220,"2023-08-14 00:49:21.799919","train",0,0.22877280414104462,8.420798122676281e-05,"","","","","","",""
240,"2023-08-14 00:49:42.864589","train",0,0.3029124438762665,8.50071494391542e-05,"","","","","","",""
246,"2023-08-14 00:51:52.397003","train",0,"","","",0.6649598436252538,0.3690112130479103,0.516783762685402,0.6965488215488216,0.3363821138211382,0.9068493150684932
