"step","time","part","epoch","loss","lr"
20,"2023-08-14 00:32:17.437685","train",0,0.42940738797187805,8.003480193001814e-05
40,"2023-08-14 00:32:45.097267","train",0,0.2954770624637604,8.013920519679262e-05
60,"2023-08-14 00:33:11.890092","train",0,0.5661715269088745,8.03132022306665e-05
80,"2023-08-14 00:33:39.942356","train",0,0.2522945702075958,8.05567804161556e-05
100,"2023-08-14 00:34:07.376100","train",0,0.8671914935112,8.086992209286204e-05
120,"2023-08-14 00:34:34.383485","train",0,0.2367749661207199,8.125260455675511e-05
140,"2023-08-14 00:35:01.692974","train",0,0.5181751847267151,8.17048000618173e-05
160,"2023-08-14 00:35:29.467758","train",0,0.12878447771072388,8.222647582205615e-05
180,"2023-08-14 00:35:56.239168","train",0,0.3736276626586914,8.281759401388214e-05
200,"2023-08-14 00:36:16.963632","train",0,0.10148469358682632,8.347811177884887e-05
220,"2023-08-14 00:36:35.914092","train",0,0.23648206889629364,8.420798122676281e-05
240,"2023-08-14 00:36:55.588756","train",0,0.06989987939596176,8.50071494391542e-05
