"step","time","part","epoch","loss","lr"
20,"2023-08-13 21:39:56.211399","train",0,0.4350099563598633,8.013268969182179e-05
40,"2023-08-13 21:40:26.121337","train",0,0.6763873100280762,8.053072208696584e-05
60,"2023-08-13 21:40:56.647084","train",0,0.964658796787262,8.119398715460764e-05
80,"2023-08-13 21:41:22.733470","train",0,0.5317502617835999,8.212230154383527e-05
100,"2023-08-13 21:41:45.240096","train",0,0.4732186794281006,8.331540863433648e-05
120,"2023-08-13 21:42:08.925442","train",0,0.32763421535491943,8.477297860733546e-05
