"step","time","part","epoch","loss","lr"
20,"2023-08-13 21:28:41.353416","train",0,1.0105929374694824,8.013268969182179e-05
40,"2023-08-13 21:29:08.642786","train",0,0.5079561471939087,8.053072208696584e-05
60,"2023-08-13 21:29:37.453613","train",0,0.5649487376213074,8.119398715460764e-05
80,"2023-08-13 21:30:02.965953","train",0,0.4574085474014282,8.212230154383527e-05
100,"2023-08-13 21:30:23.722751","train",0,0.9294606447219849,8.331540863433648e-05
120,"2023-08-13 21:30:45.541177","train",0,0.5656529664993286,8.477297860733546e-05
