"step","time","part","epoch","loss","lr","auroc","auprc","accuracy","f_measure","f_beta_measure","g_beta_measure","challenge_metric"
20,"2023-08-14 05:52:15.183350","train",0,0.2356347143650055,8.003480193001814e-05,"","","","","","",""
40,"2023-08-14 05:52:42.654076","train",0,0.975605845451355,8.013920519679262e-05,"","","","","","",""
60,"2023-08-14 05:53:10.007766","train",0,0.6497606635093689,8.03132022306665e-05,"","","","","","",""
80,"2023-08-14 05:53:37.729526","train",0,0.48054543137550354,8.05567804161556e-05,"","","","","","",""
100,"2023-08-14 05:54:05.510306","train",0,0.6888957023620605,8.086992209286204e-05,"","","","","","",""
120,"2023-08-14 05:54:32.905168","train",0,0.48401981592178345,8.125260455675511e-05,"","","","","","",""
140,"2023-08-14 05:55:00.932458","train",0,0.4400762617588043,8.17048000618173e-05,"","","","","","",""
160,"2023-08-14 05:55:27.894881","train",0,0.3069312572479248,8.222647582205615e-05,"","","","","","",""
180,"2023-08-14 05:55:55.735186","train",0,0.5086314678192139,8.281759401388214e-05,"","","","","","",""
200,"2023-08-14 05:56:16.679183","train",0,0.24121806025505066,8.347811177884887e-05,"","","","","","",""
220,"2023-08-14 05:56:36.339114","train",0,0.10580289363861084,8.420798122676281e-05,"","","","","","",""
240,"2023-08-14 05:56:54.757231","train",0,0.2058468759059906,8.50071494391542e-05,"","","","","","",""
246,"2023-08-14 05:58:38.376355","train",0,"","","",0.5051534734590406,0.6722731906218145,0.377541142303969,0.30251318647223086,0.14202476329206118,0.2671232876712329
