"step","time","part","epoch","loss","lr","auroc","auprc","accuracy","f_measure","f_beta_measure","g_beta_measure","challenge_metric"
20,"2023-08-14 04:39:44.937978","train",0,0.4691725969314575,8.003480193001814e-05,"","","","","","",""
40,"2023-08-14 04:40:13.594537","train",0,0.6589385867118835,8.013920519679262e-05,"","","","","","",""
60,"2023-08-14 04:40:43.529216","train",0,0.08172721415758133,8.03132022306665e-05,"","","","","","",""
80,"2023-08-14 04:41:11.903165","train",0,0.046201977878808975,8.05567804161556e-05,"","","","","","",""
100,"2023-08-14 04:41:40.372595","train",0,0.5133592486381531,8.086992209286204e-05,"","","","","","",""
120,"2023-08-14 04:42:10.851869","train",0,0.3938373327255249,8.125260455675511e-05,"","","","","","",""
140,"2023-08-14 04:42:42.071838","train",0,0.40796926617622375,8.17048000618173e-05,"","","","","","",""
160,"2023-08-14 04:43:09.904617","train",0,0.5688015222549438,8.222647582205615e-05,"","","","","","",""
180,"2023-08-14 04:43:38.027106","train",0,0.38986530900001526,8.281759401388214e-05,"","","","","","",""
200,"2023-08-14 04:44:00.415514","train",0,0.7193625569343567,8.347811177884887e-05,"","","","","","",""
220,"2023-08-14 04:44:22.372290","train",0,0.5514692664146423,8.420798122676281e-05,"","","","","","",""
240,"2023-08-14 04:44:43.557747","train",0,0.2381444275379181,8.50071494391542e-05,"","","","","","",""
246,"2023-08-14 04:46:29.177381","train",0,"","","",0.2813223113802011,0.7161060142711518,0.4680038204393505,0.3784368242199567,0.19036519036519037,0.3356164383561644
