"step","time","part","epoch","loss","lr"
20,"2023-08-13 17:22:49.559727","train",0,0.6614203453063965,8.013268969182179e-05
40,"2023-08-13 17:23:15.405665","train",0,0.9203324317932129,8.053072208696584e-05
60,"2023-08-13 17:23:41.681771","train",0,0.6969668865203857,8.119398715460764e-05
80,"2023-08-13 17:24:02.502122","train",0,0.7147171497344971,8.212230154383527e-05
100,"2023-08-13 17:24:28.232811","train",0,0.5877543091773987,8.331540863433648e-05
120,"2023-08-13 17:24:47.697197","train",0,0.9711534976959229,8.477297860733546e-05
