"step","time","part","epoch","loss","lr"
20,"2023-08-13 21:57:42.560939","train",0,0.6383287906646729,8.013268969182179e-05
40,"2023-08-13 21:58:12.288780","train",0,0.2818095088005066,8.053072208696584e-05
60,"2023-08-13 21:58:44.413167","train",0,0.19901883602142334,8.119398715460764e-05
80,"2023-08-13 21:59:10.803033","train",0,0.6661791801452637,8.212230154383527e-05
100,"2023-08-13 21:59:38.877141","train",0,0.3092612624168396,8.331540863433648e-05
120,"2023-08-13 22:00:05.101562","train",0,0.8335332274436951,8.477297860733546e-05
