"step","time","part","epoch","loss","lr"
20,"2023-08-13 23:02:21.666502","train",0,0.6171367764472961,8.003480193001814e-05
40,"2023-08-13 23:02:48.406731","train",0,0.16952350735664368,8.013920519679262e-05
60,"2023-08-13 23:03:15.281737","train",0,0.8254046440124512,8.03132022306665e-05
80,"2023-08-13 23:03:42.555866","train",0,0.6731433868408203,8.05567804161556e-05
100,"2023-08-13 23:04:08.546197","train",0,0.23937593400478363,8.086992209286204e-05
120,"2023-08-13 23:04:35.898052","train",0,0.1234695240855217,8.125260455675511e-05
140,"2023-08-13 23:05:02.460965","train",0,0.41187238693237305,8.17048000618173e-05
160,"2023-08-13 23:05:28.141986","train",0,0.1686554104089737,8.222647582205615e-05
180,"2023-08-13 23:05:54.111279","train",0,0.5336880087852478,8.281759401388214e-05
200,"2023-08-13 23:06:14.916876","train",0,0.192563995718956,8.347811177884887e-05
220,"2023-08-13 23:06:33.930512","train",0,0.5998362898826599,8.420798122676281e-05
240,"2023-08-13 23:06:52.675483","train",0,0.3380805253982544,8.50071494391542e-05
