"step","time","part","epoch","loss","lr"
20,"2023-08-14 00:18:37.055911","train",0,0.3765708804130554,8.003480193001814e-05
40,"2023-08-14 00:19:04.478923","train",0,0.12480315566062927,8.013920519679262e-05
60,"2023-08-14 00:19:31.353444","train",0,0.5212706327438354,8.03132022306665e-05
80,"2023-08-14 00:19:59.107453","train",0,1.1626399755477905,8.05567804161556e-05
100,"2023-08-14 00:20:25.765012","train",0,0.02925259992480278,8.086992209286204e-05
120,"2023-08-14 00:20:52.347593","train",0,0.3425711989402771,8.125260455675511e-05
140,"2023-08-14 00:21:19.684190","train",0,0.26407191157341003,8.17048000618173e-05
160,"2023-08-14 00:21:47.625368","train",0,0.3671817183494568,8.222647582205615e-05
180,"2023-08-14 00:22:17.423711","train",0,0.15748447179794312,8.281759401388214e-05
200,"2023-08-14 00:22:40.532189","train",0,0.2732917070388794,8.347811177884887e-05
220,"2023-08-14 00:23:00.388447","train",0,0.2311081439256668,8.420798122676281e-05
240,"2023-08-14 00:23:26.549067","train",0,0.44299256801605225,8.50071494391542e-05
