"step","time","part","epoch","loss","lr"
20,"2023-08-13 17:36:43.890718","train",0,0.21218058466911316,8.013268969182179e-05
40,"2023-08-13 17:37:09.640825","train",0,-0.09328728914260864,8.053072208696584e-05
60,"2023-08-13 17:37:35.541413","train",0,1.1884115934371948,8.119398715460764e-05
80,"2023-08-13 17:37:56.888430","train",0,0.5319703817367554,8.212230154383527e-05
100,"2023-08-13 17:38:16.576321","train",0,0.9391191005706787,8.331540863433648e-05
120,"2023-08-13 17:38:41.540991","train",0,0.46753817796707153,8.477297860733546e-05
