"step","time","part","epoch","loss","lr"
20,"2023-08-13 16:59:59.619753","train",0,"",8.013268969182179e-05
40,"2023-08-13 17:00:25.827358","train",0,"",8.053072208696584e-05
60,"2023-08-13 17:00:51.220460","train",0,"",8.119398715460764e-05
80,"2023-08-13 17:01:14.753844","train",0,"",8.212230154383527e-05
100,"2023-08-13 17:01:34.753837","train",0,"",8.331540863433648e-05
120,"2023-08-13 17:01:54.637280","train",0,"",8.477297860733546e-05
