"step","time","part","epoch","loss","lr"
20,"2023-08-13 17:44:12.902291","train",0,1.5095241069793701,8.013268969182179e-05
40,"2023-08-13 17:44:38.191897","train",0,1.05872642993927,8.053072208696584e-05
60,"2023-08-13 17:45:03.913092","train",0,1.0879369974136353,8.119398715460764e-05
80,"2023-08-13 17:45:25.226372","train",0,0.19243162870407104,8.212230154383527e-05
100,"2023-08-13 17:45:44.939443","train",0,0.9992222785949707,8.331540863433648e-05
120,"2023-08-13 17:46:04.066101","train",0,0.4880845248699188,8.477297860733546e-05
