"step","time","part","epoch","loss","lr","auroc","auprc","accuracy","f_measure","f_beta_measure","g_beta_measure","challenge_metric"
20,"2023-08-14 04:04:50.110753","train",0,0.8599259257316589,8.003480193001814e-05,"","","","","","",""
40,"2023-08-14 04:05:23.305697","train",0,0.8084527850151062,8.013920519679262e-05,"","","","","","",""
60,"2023-08-14 04:06:01.991423","train",0,0.5046036243438721,8.03132022306665e-05,"","","","","","",""
80,"2023-08-14 04:06:46.545874","train",0,0.7118219137191772,8.05567804161556e-05,"","","","","","",""
100,"2023-08-14 04:07:21.186235","train",0,0.7169579863548279,8.086992209286204e-05,"","","","","","",""
120,"2023-08-14 04:07:54.861567","train",0,0.28197163343429565,8.125260455675511e-05,"","","","","","",""
140,"2023-08-14 04:08:26.480370","train",0,0.37110644578933716,8.17048000618173e-05,"","","","","","",""
160,"2023-08-14 04:09:01.312064","train",0,0.2838513255119324,8.222647582205615e-05,"","","","","","",""
180,"2023-08-14 04:09:38.043623","train",0,0.06949674338102341,8.281759401388214e-05,"","","","","","",""
200,"2023-08-14 04:10:11.630633","train",0,0.17032182216644287,8.347811177884887e-05,"","","","","","",""
220,"2023-08-14 04:10:42.531824","train",0,0.062327198684215546,8.420798122676281e-05,"","","","","","",""
240,"2023-08-14 04:11:10.029087","train",0,0.34043803811073303,8.50071494391542e-05,"","","","","","",""
246,"2023-08-14 04:13:02.741362","train",0,"","","",0.3174971771053668,0.35423037716615696,0.514745308310992,0.6998541970422829,0.33650475713570355,0.9205479452054794
