"step","time","part","epoch","loss","lr"
20,"2023-08-13 21:11:29.841736","train",0,2.5125436782836914,8.013268969182179e-05
40,"2023-08-13 21:11:59.461897","train",0,0.4771745502948761,8.053072208696584e-05
60,"2023-08-13 21:12:27.824972","train",0,0.9866155385971069,8.119398715460764e-05
80,"2023-08-13 21:12:56.078054","train",0,1.067031741142273,8.212230154383527e-05
100,"2023-08-13 21:13:19.598674","train",0,0.018427647650241852,8.331540863433648e-05
120,"2023-08-13 21:13:42.540816","train",0,0.4197489023208618,8.477297860733546e-05
