"step","time","part","epoch","loss","lr"
20,"2023-08-13 23:47:39.976415","train",0,0.6299692392349243,8.003480193001814e-05
40,"2023-08-13 23:48:07.876268","train",0,0.5580902099609375,8.013920519679262e-05
60,"2023-08-13 23:48:35.630911","train",0,0.5210343599319458,8.03132022306665e-05
80,"2023-08-13 23:49:03.788557","train",0,0.7698974013328552,8.05567804161556e-05
100,"2023-08-13 23:49:31.771083","train",0,0.5715258121490479,8.086992209286204e-05
120,"2023-08-13 23:49:59.191807","train",0,0.1238478496670723,8.125260455675511e-05
140,"2023-08-13 23:50:26.163078","train",0,0.051053017377853394,8.17048000618173e-05
160,"2023-08-13 23:50:53.021108","train",0,0.5945945978164673,8.222647582205615e-05
180,"2023-08-13 23:51:20.234886","train",0,0.46152231097221375,8.281759401388214e-05
200,"2023-08-13 23:51:42.721770","train",0,0.1032366007566452,8.347811177884887e-05
220,"2023-08-13 23:52:02.662034","train",0,0.35143184661865234,8.420798122676281e-05
240,"2023-08-13 23:52:21.894237","train",0,0.6692448854446411,8.50071494391542e-05
