"step","time","part","epoch","loss","lr"
20,"2023-08-13 20:31:04.153557","train",0,0.22263848781585693,8.013268969182179e-05
40,"2023-08-13 20:31:29.892618","train",0,0.9026637077331543,8.053072208696584e-05
60,"2023-08-13 20:31:55.744775","train",0,0.7029575705528259,8.119398715460764e-05
80,"2023-08-13 20:32:16.972958","train",0,0.591924250125885,8.212230154383527e-05
100,"2023-08-13 20:32:36.763454","train",0,0.2212304174900055,8.331540863433648e-05
120,"2023-08-13 20:32:57.087124","train",0,-0.05199577286839485,8.477297860733546e-05
