"step","time","part","epoch","loss","lr"
20,"2023-08-13 17:56:19.624299","train",0,1.0644134283065796,8.013268969182179e-05
40,"2023-08-13 17:56:46.166018","train",0,0.5858172178268433,8.053072208696584e-05
60,"2023-08-13 17:57:13.636417","train",0,0.16695664823055267,8.119398715460764e-05
80,"2023-08-13 17:57:36.565223","train",0,1.4372756481170654,8.212230154383527e-05
100,"2023-08-13 17:57:57.387552","train",0,0.1980484127998352,8.331540863433648e-05
120,"2023-08-13 17:58:18.009274","train",0,0.8699363470077515,8.477297860733546e-05
