"step","time","part","epoch","loss","lr","auroc","auprc","accuracy","f_measure","f_beta_measure","g_beta_measure","challenge_metric"
20,"2023-08-14 01:03:39.572666","train",0,0.3405466079711914,8.003480193001814e-05,"","","","","","",""
40,"2023-08-14 01:04:07.050548","train",0,0.4574727416038513,8.013920519679262e-05,"","","","","","",""
60,"2023-08-14 01:04:34.956229","train",0,0.4213234782218933,8.03132022306665e-05,"","","","","","",""
80,"2023-08-14 01:05:01.931515","train",0,0.7224661707878113,8.05567804161556e-05,"","","","","","",""
100,"2023-08-14 01:05:28.224016","train",0,0.6328861713409424,8.086992209286204e-05,"","","","","","",""
120,"2023-08-14 01:05:55.005770","train",0,0.16903775930404663,8.125260455675511e-05,"","","","","","",""
140,"2023-08-14 01:06:22.311030","train",0,0.3272344470024109,8.17048000618173e-05,"","","","","","",""
160,"2023-08-14 01:06:50.222684","train",0,0.09135804325342178,8.222647582205615e-05,"","","","","","",""
180,"2023-08-14 01:07:18.322381","train",0,0.24562150239944458,8.281759401388214e-05,"","","","","","",""
200,"2023-08-14 01:07:40.096519","train",0,0.2637708783149719,8.347811177884887e-05,"","","","","","",""
220,"2023-08-14 01:07:58.847724","train",0,0.261182576417923,8.420798122676281e-05,"","","","","","",""
240,"2023-08-14 01:08:17.967872","train",0,0.6188485026359558,8.50071494391542e-05,"","","","","","",""
246,"2023-08-14 01:10:15.111103","train",0,"","","",0.2407260216468696,0.6320081549439348,0.0549738219895288,0.035545023696682464,0.014462809917355372,0.028767123287671233
