"step","time","part","epoch","loss","lr"
20,"2023-08-13 21:33:34.310534","train",0,0.9985748529434204,8.013268969182179e-05
40,"2023-08-13 21:34:05.002497","train",0,1.022021770477295,8.053072208696584e-05
60,"2023-08-13 21:34:40.197551","train",0,0.6045364141464233,8.119398715460764e-05
80,"2023-08-13 21:35:10.957865","train",0,0.4544335901737213,8.212230154383527e-05
100,"2023-08-13 21:35:41.413396","train",0,0.35089096426963806,8.331540863433648e-05
120,"2023-08-13 21:36:09.008616","train",0,0.7757636308670044,8.477297860733546e-05
