"step","time","part","epoch","loss","lr","auroc","auprc","accuracy","f_measure","f_beta_measure","g_beta_measure","challenge_metric"
20,"2023-08-14 03:33:18.413809","train",0,1.0123461484909058,8.003480193001814e-05,"","","","","","",""
40,"2023-08-14 03:33:50.412594","train",0,0.5026615262031555,8.013920519679262e-05,"","","","","","",""
60,"2023-08-14 03:34:23.996600","train",0,1.7155183553695679,8.03132022306665e-05,"","","","","","",""
80,"2023-08-14 03:34:55.914189","train",0,0.21383221447467804,8.05567804161556e-05,"","","","","","",""
100,"2023-08-14 03:35:27.711999","train",0,0.4462694525718689,8.086992209286204e-05,"","","","","","",""
120,"2023-08-14 03:35:58.470062","train",0,0.3295915722846985,8.125260455675511e-05,"","","","","","",""
140,"2023-08-14 03:36:37.006552","train",0,0.2607906460762024,8.17048000618173e-05,"","","","","","",""
160,"2023-08-14 03:37:19.147733","train",0,0.5229809284210205,8.222647582205615e-05,"","","","","","",""
180,"2023-08-14 03:37:49.658127","train",0,0.15922465920448303,8.281759401388214e-05,"","","","","","",""
200,"2023-08-14 03:38:13.702901","train",0,0.34444037079811096,8.347811177884887e-05,"","","","","","",""
220,"2023-08-14 03:38:35.901840","train",0,0.4163641929626465,8.420798122676281e-05,"","","","","","",""
240,"2023-08-14 03:38:57.602019","train",0,0.3802662491798401,8.50071494391542e-05,"","","","","","",""
246,"2023-08-14 03:40:39.665846","train",0,"","","",0.32315476482771915,0.6304791029561672,0.016282225237449117,0.010249402118209771,0.004123711340206186,0.00821917808219178
