"step","time","part","epoch","loss","lr","auroc","auprc","accuracy","f_measure","f_beta_measure","g_beta_measure","challenge_metric"
20,"2023-08-14 03:51:36.453885","train",0,0.6248098611831665,8.003480193001814e-05,"","","","","","",""
40,"2023-08-14 03:52:18.583802","train",0,0.6072016954421997,8.013920519679262e-05,"","","","","","",""
60,"2023-08-14 03:52:49.410464","train",0,0.12071529775857925,8.03132022306665e-05,"","","","","","",""
80,"2023-08-14 03:53:18.194192","train",0,0.2358424961566925,8.05567804161556e-05,"","","","","","",""
100,"2023-08-14 03:53:48.110722","train",0,0.3529430329799652,8.086992209286204e-05,"","","","","","",""
120,"2023-08-14 03:54:16.551254","train",0,0.8912577629089355,8.125260455675511e-05,"","","","","","",""
140,"2023-08-14 03:54:45.518837","train",0,1.032759666442871,8.17048000618173e-05,"","","","","","",""
160,"2023-08-14 03:55:17.028700","train",0,0.7232018113136292,8.222647582205615e-05,"","","","","","",""
180,"2023-08-14 03:55:56.858424","train",0,0.33382123708724976,8.281759401388214e-05,"","","","","","",""
200,"2023-08-14 03:56:27.838182","train",0,0.23754246532917023,8.347811177884887e-05,"","","","","","",""
220,"2023-08-14 03:56:49.903052","train",0,0.3729277551174164,8.420798122676281e-05,"","","","","","",""
240,"2023-08-14 03:57:11.720702","train",0,0.5363200306892395,8.50071494391542e-05,"","","","","","",""
246,"2023-08-14 03:58:57.218563","train",0,"","","",0.3396857566881421,0.6304791029561672,0.026845637583892617,0.017035775127768313,0.006872852233676976,0.0136986301369863
