"step","time","part","epoch","loss","lr"
20,"2023-08-13 17:27:31.740541","train",0,0.9187082648277283,8.013268969182179e-05
40,"2023-08-13 17:27:59.400082","train",0,0.25193625688552856,8.053072208696584e-05
60,"2023-08-13 17:28:24.439860","train",0,0.003370918333530426,8.119398715460764e-05
80,"2023-08-13 17:28:45.258213","train",0,0.47176146507263184,8.212230154383527e-05
100,"2023-08-13 17:29:10.162717","train",0,1.4000545740127563,8.331540863433648e-05
120,"2023-08-13 17:29:30.483118","train",0,0.7606052160263062,8.477297860733546e-05
