"step","time","part","epoch","loss","lr"
20,"2023-08-13 17:32:34.550821","train",0,0.8498212099075317,8.013268969182179e-05
40,"2023-08-13 17:33:00.651665","train",0,1.2941114902496338,8.053072208696584e-05
60,"2023-08-13 17:33:28.096176","train",0,0.5900910496711731,8.119398715460764e-05
80,"2023-08-13 17:33:53.730112","train",0,0.16563861072063446,8.212230154383527e-05
100,"2023-08-13 17:34:14.495769","train",0,0.5305934548377991,8.331540863433648e-05
120,"2023-08-13 17:34:36.203922","train",0,0.9536253809928894,8.477297860733546e-05
