"step","time","part","epoch","loss","lr"
20,"2023-08-13 23:24:20.392102","train",0,0.37770915031433105,8.003480193001814e-05
40,"2023-08-13 23:24:47.332683","train",0,0.20050518214702606,8.013920519679262e-05
60,"2023-08-13 23:25:14.734284","train",0,0.5003413558006287,8.03132022306665e-05
80,"2023-08-13 23:25:41.968530","train",0,0.6364202499389648,8.05567804161556e-05
100,"2023-08-13 23:26:11.120005","train",0,0.15190574526786804,8.086992209286204e-05
120,"2023-08-13 23:26:38.054294","train",0,0.6818456053733826,8.125260455675511e-05
140,"2023-08-13 23:27:05.482932","train",0,0.4549248218536377,8.17048000618173e-05
160,"2023-08-13 23:27:32.460568","train",0,0.4068501889705658,8.222647582205615e-05
180,"2023-08-13 23:27:58.697001","train",0,0.1675792783498764,8.281759401388214e-05
200,"2023-08-13 23:28:20.106037","train",0,0.5329869389533997,8.347811177884887e-05
220,"2023-08-13 23:28:38.772517","train",0,0.03758237510919571,8.420798122676281e-05
240,"2023-08-13 23:28:57.735910","train",0,0.2202674001455307,8.50071494391542e-05
