"step","time","part","epoch","loss","lr"
20,"2023-08-14 00:12:06.745899","train",0,0.6612128615379333,8.003480193001814e-05
40,"2023-08-14 00:12:35.020751","train",0,0.6578719019889832,8.013920519679262e-05
60,"2023-08-14 00:13:02.242589","train",0,0.1489526778459549,8.03132022306665e-05
80,"2023-08-14 00:13:28.291061","train",0,0.7189633250236511,8.05567804161556e-05
100,"2023-08-14 00:13:54.395522","train",0,0.39850255846977234,8.086992209286204e-05
120,"2023-08-14 00:14:22.164296","train",0,0.41972172260284424,8.125260455675511e-05
140,"2023-08-14 00:14:49.716311","train",0,0.20891809463500977,8.17048000618173e-05
160,"2023-08-14 00:15:17.194626","train",0,0.18284007906913757,8.222647582205615e-05
180,"2023-08-14 00:15:44.480128","train",0,0.41065001487731934,8.281759401388214e-05
200,"2023-08-14 00:16:05.905879","train",0,0.3372875452041626,8.347811177884887e-05
220,"2023-08-14 00:16:24.373875","train",0,0.4735545814037323,8.420798122676281e-05
240,"2023-08-14 00:16:43.492984","train",0,0.30861473083496094,8.50071494391542e-05
