"step","time","part","epoch","loss","lr"
20,"2023-08-13 17:10:53.625985","train",0,0.5308284163475037,8.013268969182179e-05
40,"2023-08-13 17:11:18.048761","train",0,0.7802019119262695,8.053072208696584e-05
60,"2023-08-13 17:11:42.437923","train",0,0.8681325912475586,8.119398715460764e-05
80,"2023-08-13 17:12:02.929979","train",0,0.15408848226070404,8.212230154383527e-05
100,"2023-08-13 17:12:22.111721","train",0,0.5339341759681702,8.331540863433648e-05
120,"2023-08-13 17:12:41.188707","train",0,0.6489056944847107,8.477297860733546e-05
