"step","time","part","epoch","loss","lr"
20,"2023-08-13 21:01:49.505958","train",0,-1.0792145729064941,8.013268969182179e-05
40,"2023-08-13 21:02:17.653373","train",0,0.6444160342216492,8.053072208696584e-05
60,"2023-08-13 21:02:47.444333","train",0,0.5464131236076355,8.119398715460764e-05
80,"2023-08-13 21:03:09.535985","train",0,0.23165574669837952,8.212230154383527e-05
100,"2023-08-13 21:03:30.689868","train",0,0.6486045718193054,8.331540863433648e-05
120,"2023-08-13 21:03:56.319903","train",0,0.7068697810173035,8.477297860733546e-05
