"step","time","part","epoch","loss","lr"
20,"2023-08-13 19:13:01.904457","train",0,0.650122880935669,8.013268969182179e-05
40,"2023-08-13 19:13:26.621090","train",0,0.34753692150115967,8.053072208696584e-05
60,"2023-08-13 19:13:51.975766","train",0,0.7547240853309631,8.119398715460764e-05
80,"2023-08-13 19:14:12.472187","train",0,0.39373573660850525,8.212230154383527e-05
100,"2023-08-13 19:14:31.888655","train",0,0.43817460536956787,8.331540863433648e-05
120,"2023-08-13 19:14:50.892633","train",0,0.19816327095031738,8.477297860733546e-05
