"step","time","part","epoch","loss","lr","auroc","auprc","accuracy","f_measure","f_beta_measure","g_beta_measure","challenge_metric"
20,"2023-08-13 23:12:23.607724","train",0,0.3168982267379761,8.003480193001814e-05,"","","","","","",""
40,"2023-08-13 23:12:50.570334","train",0,0.505018413066864,8.013920519679262e-05,"","","","","","",""
60,"2023-08-13 23:13:17.965693","train",0,0.4241635799407959,8.03132022306665e-05,"","","","","","",""
80,"2023-08-13 23:13:46.053696","train",0,0.3474476635456085,8.05567804161556e-05,"","","","","","",""
100,"2023-08-13 23:14:12.686671","train",0,0.259317547082901,8.086992209286204e-05,"","","","","","",""
120,"2023-08-13 23:14:39.912244","train",0,0.32158493995666504,8.125260455675511e-05,"","","","","","",""
140,"2023-08-13 23:15:05.304593","train",0,0.2201135754585266,8.17048000618173e-05,"","","","","","",""
160,"2023-08-13 23:15:32.093931","train",0,0.32435840368270874,8.222647582205615e-05,"","","","","","",""
180,"2023-08-13 23:15:58.998998","train",0,0.5406908988952637,8.281759401388214e-05,"","","","","","",""
200,"2023-08-13 23:16:19.457933","train",0,0.2384069412946701,8.347811177884887e-05,"","","","","","",""
220,"2023-08-13 23:16:37.788714","train",0,0.260245144367218,8.420798122676281e-05,"","","","","","",""
240,"2023-08-13 23:16:56.709613","train",0,0.15443436801433563,8.50071494391542e-05,"","","","","","",""
246,"2023-08-13 23:18:39.045938","train",0,"","","",0.2599414388839433,0.8481141692150866,0.8160493827160494,0.8674540682414699,0.6429961089494164,0.9054794520547945
