"step","time","part","epoch","loss","lr"
20,"2023-08-13 18:37:06.309332","train",0,0.1624343991279602,8.013268969182179e-05
40,"2023-08-13 18:37:32.088310","train",0,1.1597949266433716,8.053072208696584e-05
60,"2023-08-13 18:37:58.107443","train",0,0.5796887874603271,8.119398715460764e-05
80,"2023-08-13 18:38:20.164540","train",0,0.9138509035110474,8.212230154383527e-05
100,"2023-08-13 18:38:40.250892","train",0,0.8271898031234741,8.331540863433648e-05
120,"2023-08-13 18:39:00.179039","train",0,0.6773778200149536,8.477297860733546e-05
