"step","time","part","epoch","loss","lr"
20,"2023-08-13 19:09:06.748904","train",0,1.5673069953918457,8.013268969182179e-05
40,"2023-08-13 19:09:31.421702","train",0,0.7759826183319092,8.053072208696584e-05
60,"2023-08-13 19:09:56.386424","train",0,-0.3965386748313904,8.119398715460764e-05
80,"2023-08-13 19:10:17.745505","train",0,1.232146143913269,8.212230154383527e-05
100,"2023-08-13 19:10:37.571038","train",0,0.722950279712677,8.331540863433648e-05
120,"2023-08-13 19:10:57.288431","train",0,0.023349285125732422,8.477297860733546e-05
